_id,A_X,A_Y,A_Z
65e0dd708b10dd494e7805b9,0.11792,0.04224,1.15503
65e0dd708b10dd494e7805ba,0.09106,-0.03784,1.17041
65e0dd708b10dd494e7805bb,0.11670,0.00513,1.15674
65e0dd708b10dd494e7805bc,0.14380,-0.00073,1.16772
65e0dd708b10dd494e7805bd,0.10669,-0.00659,1.16797
65e0dd708b10dd494e7805be,0.09937,-0.02051,1.16235
65e0dd708b10dd494e7805bf,0.14087,0.02734,1.16821
65e0dd708b10dd494e7805c0,0.09644,-0.01074,1.17407
65e0dd708b10dd494e7805c1,0.10205,0.00342,1.15649
65e0dd708b10dd494e7805c2,0.13818,0.01611,1.15942
65e0dd708b10dd494e7805c3,0.10107,-0.02002,1.17725
65e0dd708b10dd494e7805c4,0.10156,0.00220,1.16479
65e0dd708b10dd494e7805c5,0.12402,0.00293,1.16016
65e0dd708b10dd494e7805c6,0.10596,0.00879,1.16846
65e0dd708b10dd494e7805c7,0.12866,-0.02661,1.17554
65e0dd708b10dd494e7805c8,0.11450,0.01563,1.16138
65e0dd708b10dd494e7805c9,0.11182,0.00586,1.16919
65e0dd708b10dd494e7805ca,0.11963,-0.03247,1.16479
65e0dd708b10dd494e7805cb,0.10889,0.02710,1.15527
65e0dd708b10dd494e7805cc,0.10864,-0.00854,1.16602
65e0dd708b10dd494e7805cd,0.12451,-0.01538,1.16235
65e0dd708b10dd494e7805ce,0.10596,0.00757,1.16162
65e0dd708b10dd494e7805cf,0.12646,0.00684,1.16650
65e0dd708b10dd494e7805d0,0.11890,-0.02588,1.16553
65e0dd708b10dd494e7805d1,0.09692,-0.01343,1.16528
65e0dd708b10dd494e7805d2,0.13867,0.02002,1.16235
65e0dd708b10dd494e7805d3,0.08765,-0.01611,1.16211
65e0dd708b10dd494e7805d4,0.10669,0.01025,1.17407
65e0dd708b10dd494e7805d5,0.12427,0.00732,1.15747
65e0dd708b10dd494e7805d6,0.08862,-0.00342,1.16797
65e0dd708b10dd494e7805d7,0.11377,0.00391,1.17041
65e0dd708b10dd494e7805d8,0.12842,0.01465,1.16162
65e0dd708b10dd494e7805d9,0.08325,-0.01416,1.17114
65e0dd708b10dd494e7805da,0.10864,0.01270,1.17285
65e0dd708b10dd494e7805db,0.11914,-0.00146,1.16260
65e0dd708b10dd494e7805dc,0.08350,-0.02002,1.17114
65e0dd708b10dd494e7805dd,0.10547,0.01685,1.17310
65e0dd708b10dd494e7805de,0.13330,-0.00562,1.17188
65e0dd708b10dd494e7805df,0.09888,0.00024,1.16479
65e0dd708b10dd494e7805e0,0.11353,-0.01782,1.16772
65e0dd708b10dd494e7805e1,0.12280,0.02271,1.16846
65e0dd708b10dd494e7805e2,0.10767,0.01416,1.17456
65e0dd708b10dd494e7805e3,0.09644,-0.05225,1.17310
65e0dd708b10dd494e7805e4,0.12671,0.04541,1.16479
65e0dd708b10dd494e7805e5,0.11597,-0.02856,1.15381
65e0dd708b10dd494e7805e6,0.11572,-0.00684,1.16431
65e0dd708b10dd494e7805e7,0.12354,0.03223,1.14648
65e0dd708b10dd494e7805e8,0.11719,0.00073,1.17407
65e0dd708b10dd494e7805e9,0.12476,-0.01953,1.16260
65e0dd708b10dd494e7805ea,0.10229,0.00415,1.15820
65e0dd708b10dd494e7805eb,0.11914,0.02490,1.16943
65e0dd708b10dd494e7805ec,0.10522,-0.05298,1.16406
65e0dd708b10dd494e7805ed,0.10889,0.02905,1.16406
65e0dd708b10dd494e7805ee,0.12720,0.00854,1.17139
65e0dd708b10dd494e7805ef,0.10693,-0.02466,1.17041
65e0dd708b10dd494e7805f0,0.10791,0.01147,1.16943
65e0dd708b10dd494e7805f1,0.12402,0.00000,1.15869
65e0dd708b10dd494e7805f2,0.10498,-0.00366,1.16504
65e0dd708b10dd494e7805f3,0.10547,-0.01563,1.17163
65e0dd708b10dd494e7805f4,0.13135,0.02734,1.15747
65e0dd708b10dd494e7805f5,0.10327,0.00049,1.16284
65e0dd708b10dd494e7805f6,0.11768,-0.00781,1.16577
65e0dd708b10dd494e7805f7,0.08057,-0.00269,1.17578
65e0dd708b10dd494e7805f8,0.11230,0.01831,1.16992
65e0dd708b10dd494e7805f9,0.11938,-0.00928,1.17261
65e0dd708b10dd494e7805fa,0.09668,-0.01782,1.16699
65e0dd708b10dd494e7805fb,0.11011,0.03955,1.15601
65e0dd708b10dd494e7805fc,0.09912,-0.01807,1.16943
65e0dd708b10dd494e7805fd,0.12891,0.01709,1.16992
65e0dd708b10dd494e7805fe,0.12695,0.02124,1.16455
65e0dd708b10dd494e7805ff,0.10059,-0.03955,1.17651
65e0dd708b10dd494e780600,0.09741,0.01294,1.15601
65e0dd708b10dd494e780601,0.13477,0.00903,1.15576
65e0dd708b10dd494e780602,0.10034,-0.01489,1.17114
65e0dd708b10dd494e780603,0.09619,-0.00830,1.16113
65e0dd708b10dd494e780604,0.11743,0.03271,1.16919
65e0dd708b10dd494e780605,0.11841,-0.02417,1.17017
65e0dd708b10dd494e780606,0.08740,-0.00244,1.16699
65e0dd708b10dd494e780607,0.13672,0.03516,1.15991
65e0dd708b10dd494e780608,0.09985,-0.03809,1.16821
65e0dd708b10dd494e780609,0.11035,0.00464,1.17065
65e0dd708b10dd494e78060a,0.12256,0.01318,1.16675
65e0dd708b10dd494e78060b,0.09692,-0.02295,1.17822
65e0dd708b10dd494e78060c,0.09985,0.00806,1.17090
65e0dd708b10dd494e78060d,0.13232,0.02075,1.15454
65e0dd708b10dd494e78060e,0.09619,-0.02930,1.16821
65e0dd708b10dd494e78060f,0.09546,0.00684,1.16553
65e0dd708b10dd494e780610,0.13696,0.01465,1.17090
65e0dd708b10dd494e780611,0.10913,-0.02930,1.15674
65e0dd708b10dd494e780612,0.09473,0.00659,1.16943
65e0dd708b10dd494e780613,0.15283,0.00415,1.15942
65e0dd708b10dd494e780614,0.11133,-0.01587,1.17090
65e0dd708b10dd494e780615,0.09912,0.02002,1.15796
65e0dd708b10dd494e780616,0.14917,0.00610,1.16650
65e0dd708b10dd494e780617,0.11475,-0.02441,1.16748
65e0dd708b10dd494e780618,0.10278,0.02563,1.16309
65e0dd708b10dd494e780619,0.08667,-0.02295,1.15259
65e0dd708b10dd494e78061a,0.14014,0.00293,1.16895
65e0dd708b10dd494e78061b,0.10986,-0.00562,1.16406
65e0dd708b10dd494e78061c,0.10718,0.02075,1.16748
65e0dd708b10dd494e78061d,0.12622,-0.02539,1.16016
65e0dd708b10dd494e78061e,0.11768,0.01270,1.15869
65e0dd708b10dd494e78061f,0.11621,0.00366,1.16113
65e0dd708b10dd494e780620,0.11108,-0.01416,1.16895
65e0dd708b10dd494e780621,0.11792,0.00342,1.16089
65e0dd708b10dd494e780622,0.11597,0.02026,1.16040
65e0dd708b10dd494e780623,0.11353,-0.03955,1.17065
65e0dd708b10dd494e780624,0.10767,0.01099,1.16650
65e0dd708b10dd494e780625,0.12378,0.02808,1.16235
65e0dd708b10dd494e780626,0.10083,-0.04028,1.16553
65e0dd708b10dd494e780627,0.10034,0.01514,1.17358
65e0dd708b10dd494e780628,0.12500,0.02832,1.16943
65e0dd708b10dd494e780629,0.10962,-0.03516,1.16455
65e0dd708b10dd494e78062a,0.11133,0.02026,1.16479
65e0dd708b10dd494e78062b,0.09546,0.00366,1.17163
65e0dd708b10dd494e78062c,0.11890,-0.01123,1.16992
65e0dd708b10dd494e78062d,0.11328,-0.01514,1.16406
65e0dd708b10dd494e78062e,0.11255,0.03564,1.16943
65e0dd708b10dd494e78062f,0.12061,-0.03149,1.16504
65e0dd708b10dd494e780630,0.10767,-0.00415,1.15991
65e0dd708b10dd494e780631,0.11401,0.03418,1.17090
65e0dd708b10dd494e780632,0.10620,-0.03564,1.16699
65e0dd708b10dd494e780633,0.10791,-0.00171,1.16235
65e0dd708b10dd494e780634,0.11450,0.02856,1.17480
65e0dd708b10dd494e780635,0.11182,-0.02319,1.16553
65e0dd708b10dd494e780636,0.08936,-0.00854,1.16577
65e0dd708b10dd494e780637,0.16235,0.03394,1.17212
65e0dd708b10dd494e780638,0.07397,-0.03394,1.17432
65e0dd708b10dd494e780639,0.12256,0.02612,1.16748
65e0dd708b10dd494e78063a,0.12646,-0.02002,1.16235
65e0dd708b10dd494e78063b,0.08545,0.00415,1.17334
65e0dd708b10dd494e78063c,0.11987,0.00708,1.17480
65e0dd708b10dd494e78063d,0.11353,-0.01001,1.15942
65e0dd708b10dd494e78063e,0.08569,0.00171,1.16553
65e0dd708b10dd494e78063f,0.10718,-0.00562,1.17090
65e0dd708b10dd494e780640,0.13062,0.00684,1.16602
65e0dd708b10dd494e780641,0.09863,0.00781,1.16943
65e0dd708b10dd494e780642,0.11011,0.00586,1.16577
65e0dd708b10dd494e780643,0.11621,-0.00537,1.15942
65e0dd708b10dd494e780644,0.09717,-0.00562,1.16162
65e0dd708b10dd494e780645,0.10498,0.01050,1.17383
65e0dd708b10dd494e780646,0.11133,-0.02222,1.16748
