_id,A_X,A_Y,A_Z
65e0db458b10dd494e77fc41,0.10864,-0.00122,1.16333
65e0db458b10dd494e77fc42,0.11890,-0.00146,1.16943
65e0db458b10dd494e77fc43,0.11987,0.00049,1.16406
65e0db458b10dd494e77fc44,0.11694,-0.00781,1.15991
65e0db458b10dd494e77fc45,0.11401,-0.00342,1.17798
65e0db458b10dd494e77fc46,0.10669,-0.00537,1.17261
65e0db458b10dd494e77fc47,0.11255,-0.00415,1.16260
65e0db458b10dd494e77fc48,0.11450,-0.00488,1.17188
65e0db458b10dd494e77fc49,0.10767,-0.00269,1.16309
65e0db458b10dd494e77fc4a,0.12012,0.00366,1.16724
65e0db458b10dd494e77fc4b,0.11963,-0.00269,1.16675
65e0db458b10dd494e77fc4c,0.10962,-0.00293,1.16211
65e0db458b10dd494e77fc4d,0.10815,-0.00146,1.16187
65e0db458b10dd494e77fc4e,0.11011,0.00513,1.16357
65e0db458b10dd494e77fc4f,0.11255,-0.00464,1.17554
65e0db458b10dd494e77fc50,0.10571,-0.00098,1.16187
65e0db458b10dd494e77fc51,0.11182,-0.00317,1.17139
65e0db458b10dd494e77fc52,0.11377,-0.00195,1.16626
65e0db458b10dd494e77fc53,0.11255,-0.00073,1.16260
65e0db458b10dd494e77fc54,0.11499,-0.00391,1.16479
65e0db458b10dd494e77fc55,0.11621,-0.01025,1.16016
65e0db458b10dd494e77fc56,0.10791,-0.00415,1.16650
65e0db458b10dd494e77fc57,0.10547,-0.00659,1.16333
65e0db458b10dd494e77fc58,0.11157,-0.00684,1.16162
65e0db458b10dd494e77fc59,0.10840,-0.00928,1.17236
65e0db458b10dd494e77fc5a,0.11255,0.00049,1.17578
65e0db458b10dd494e77fc5b,0.11792,-0.00293,1.15820
65e0db458b10dd494e77fc5c,0.11401,-0.00635,1.16528
65e0db458b10dd494e77fc5d,0.11230,-0.00513,1.15820
65e0db458b10dd494e77fc5e,0.10547,-0.00391,1.16748
65e0db458b10dd494e77fc5f,0.11304,-0.00732,1.16333
65e0db458b10dd494e77fc60,0.11621,-0.00342,1.16333
65e0db458b10dd494e77fc61,0.11401,-0.00024,1.16357
65e0db458b10dd494e77fc62,0.10913,0.00244,1.16943
65e0db458b10dd494e77fc63,0.11938,-0.00391,1.17114
65e0db458b10dd494e77fc64,0.11133,-0.00244,1.16235
65e0db458b10dd494e77fc65,0.11646,-0.00488,1.16895
65e0db458b10dd494e77fc66,0.11108,-0.00098,1.16895
65e0db458b10dd494e77fc67,0.11646,-0.00293,1.15356
65e0db458b10dd494e77fc68,0.12158,-0.00757,1.16431
65e0db458b10dd494e77fc69,0.10815,-0.00562,1.15527
65e0db458b10dd494e77fc6a,0.11060,-0.00537,1.16162
65e0db458b10dd494e77fc6b,0.10669,-0.00562,1.17188
65e0db458b10dd494e77fc6c,0.11499,-0.00635,1.15918
65e0db458b10dd494e77fc6d,0.11719,-0.00391,1.16675
65e0db458b10dd494e77fc6e,0.11206,-0.00342,1.16162
65e0db458b10dd494e77fc6f,0.11548,-0.01099,1.16235
65e0db458b10dd494e77fc70,0.11353,-0.00659,1.16504
65e0db458b10dd494e77fc71,0.10840,-0.00635,1.15747
65e0db458b10dd494e77fc72,0.10864,-0.00537,1.16797
65e0db458b10dd494e77fc73,0.11743,-0.00122,1.16968
65e0db458b10dd494e77fc74,0.11304,-0.00537,1.16016
65e0db458b10dd494e77fc75,0.11353,-0.00342,1.17529
65e0db458b10dd494e77fc76,0.11450,0.00098,1.17065
65e0db458b10dd494e77fc77,0.11768,-0.00391,1.17065
65e0db458b10dd494e77fc78,0.10474,-0.00464,1.16675
65e0db458b10dd494e77fc79,0.11133,-0.00464,1.16504
65e0db458b10dd494e77fc7a,0.11279,-0.00464,1.16821
65e0db458b10dd494e77fc7b,0.10571,-0.00293,1.17358
65e0db458b10dd494e77fc7c,0.11377,-0.00244,1.15454
65e0db458b10dd494e77fc7d,0.11304,-0.00244,1.16748
65e0db458b10dd494e77fc7e,0.11621,-0.00391,1.16675
65e0db458b10dd494e77fc7f,0.11719,-0.00488,1.16602
65e0db458b10dd494e77fc80,0.11035,-0.00757,1.15698
65e0db458b10dd494e77fc81,0.11743,-0.00513,1.16333
65e0db458b10dd494e77fc82,0.11426,-0.00635,1.16357
65e0db458b10dd494e77fc83,0.10815,-0.00586,1.16675
65e0db458b10dd494e77fc84,0.11182,-0.00269,1.16797
65e0db458b10dd494e77fc85,0.10303,-0.00391,1.16162
65e0db458b10dd494e77fc86,0.10962,-0.00732,1.15991
65e0db458b10dd494e77fc87,0.11816,-0.00049,1.16406
65e0db458b10dd494e77fc88,0.11646,-0.00732,1.16455
65e0db458b10dd494e77fc89,0.11865,-0.00513,1.15991
65e0db458b10dd494e77fc8a,0.11279,-0.00220,1.16748
65e0db458b10dd494e77fc8b,0.10938,-0.00635,1.15723
65e0db458b10dd494e77fc8c,0.11353,0.00146,1.17480
65e0db458b10dd494e77fc8d,0.10815,-0.00586,1.16968
65e0db458b10dd494e77fc8e,0.10107,-0.00610,1.16528
65e0db458b10dd494e77fc8f,0.11523,-0.00317,1.16870
65e0db458b10dd494e77fc90,0.10913,-0.00122,1.16528
65e0db458b10dd494e77fc91,0.11475,-0.00488,1.16699
65e0db458b10dd494e77fc92,0.11279,-0.00049,1.16602
65e0db458b10dd494e77fc93,0.11401,-0.00342,1.17407
65e0db458b10dd494e77fc94,0.11963,-0.00830,1.17065
65e0db458b10dd494e77fc95,0.11108,-0.00024,1.17188
65e0db458b10dd494e77fc96,0.11206,0.00000,1.16602
65e0db458b10dd494e77fc97,0.11304,-0.00537,1.15942
65e0db458b10dd494e77fc98,0.11353,0.00244,1.16699
65e0db458b10dd494e77fc99,0.11182,-0.00415,1.16479
65e0db458b10dd494e77fc9a,0.10620,-0.00415,1.16479
65e0db458b10dd494e77fc9b,0.10840,0.00146,1.17236
65e0db458b10dd494e77fc9c,0.11597,-0.00757,1.16772
65e0db458b10dd494e77fc9d,0.11621,0.00024,1.16040
65e0db458b10dd494e77fc9e,0.11401,-0.00220,1.16528
65e0db458b10dd494e77fc9f,0.10864,-0.00610,1.15356
65e0db458b10dd494e77fca0,0.11597,-0.00317,1.16235
65e0db458b10dd494e77fca1,0.11084,-0.00879,1.17017
65e0db458b10dd494e77fca2,0.10303,-0.00781,1.16650
65e0db458b10dd494e77fca3,0.10913,-0.00659,1.16406
65e0db458b10dd494e77fca4,0.10425,-0.00171,1.16724
65e0db458b10dd494e77fca5,0.10938,-0.00366,1.17383
65e0db458b10dd494e77fca6,0.11035,-0.00293,1.16284
65e0db458b10dd494e77fca7,0.11157,-0.00415,1.15405
65e0db458b10dd494e77fca8,0.11499,-0.00122,1.16992
65e0db458b10dd494e77fca9,0.12207,-0.00415,1.15820
65e0db458b10dd494e77fcaa,0.11255,-0.00708,1.16797
65e0db458b10dd494e77fcab,0.10889,-0.00317,1.16675
65e0db458b10dd494e77fcac,0.11157,-0.00220,1.16821
65e0db458b10dd494e77fcad,0.10889,-0.00195,1.16626
65e0db458b10dd494e77fcae,0.11572,-0.00513,1.18091
65e0db458b10dd494e77fcaf,0.11182,-0.00366,1.15894
65e0db458b10dd494e77fcb0,0.11011,0.00317,1.16919
65e0db458b10dd494e77fcb1,0.11304,-0.00342,1.17114
65e0db458b10dd494e77fcb2,0.11230,-0.00659,1.16479
65e0db458b10dd494e77fcb3,0.11426,-0.00269,1.16553
65e0db458b10dd494e77fcb4,0.11572,-0.00830,1.16162
65e0db458b10dd494e77fcb5,0.11035,-0.00317,1.17261
65e0db458b10dd494e77fcb6,0.11035,0.00000,1.16406
65e0db458b10dd494e77fcb7,0.11182,-0.00049,1.17090
65e0db458b10dd494e77fcb8,0.10889,-0.00610,1.16602
65e0db458b10dd494e77fcb9,0.10889,-0.00586,1.15991
65e0db458b10dd494e77fcba,0.10791,-0.00610,1.16675
65e0db458b10dd494e77fcbb,0.11157,-0.00342,1.16699
65e0db458b10dd494e77fcbc,0.11719,-0.00513,1.15454
